Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
Comores   54.0000   -12.3962   37.1325
Comores   55.8000   -12.3538   36.9984
Comores   57.6000   -12.2803   36.9060
Comores   59.2000   -12.2171   36.8427
Comores   60.6000   -12.1333   36.8109
Comores   61.4000   -12.2043   36.7296
Comores   61.8000   -12.3605   36.6284
Comores   62.1000   -12.4680   36.5565
Comores   62.4000   -12.5886   36.4788
Comores   62.6000   -12.6810   36.4216
Comores   62.8000   -12.7720   36.3650
Comores   63.0000   -12.8714   36.3046
Darfur   0.0000   12.9705   24.0556
Darfur   0.2000   12.9272   24.0569
Darfur   0.8000   12.8147   23.9989
Darfur   1.4000   12.6873   23.9471
Darfur   2.0000   12.5741   23.8956
Darfur   2.8000   12.4021   23.8333
Darfur   3.4000   12.2940   23.7787
Darfur   4.0000   12.1662   23.7246
Darfur   4.6000   12.0579   23.6922
Darfur   5.4000   11.8916   23.6124
Darfur   6.0000   11.7838   23.5780
Darfur   6.6000   11.6738   23.5312
Darfur   7.2000   11.5538   23.4698
Darfur   7.8000   11.4429   23.4416
Darfur   8.4000   11.3316   23.3918
Darfur   9.0000   11.2197   23.3429
Darfur   9.6000   11.0978   23.3149
Darfur   10.2000   10.9777   23.2635
Darfur   11.0000   10.8645   23.2167
Darfur   11.6000   10.7709   23.1766
Darfur   12.6000   10.6511   23.1397
Darfur   13.6000   10.5315   23.1040
Darfur   14.8000   10.4246   23.0483
Darfur   15.8000   10.3301   23.0146
Darfur   17.0000   10.2209   22.9610
Darfur   18.6000   10.1241   22.9219
Darfur   20.6000   10.0219   22.8695
Darfur   22.2000   9.9224   22.8478
Darfur   23.4000   9.8184   22.8344
Darfur   24.6000   9.7045   22.8148
Darfur   26.0000   9.5987   22.7689
Darfur   27.6000   9.4881   22.7622
Darfur   29.6000   9.3769   22.7388
Darfur   31.4000   9.2681   22.7147
Darfur   32.2000   9.1833   22.6486
Darfur   33.4000   9.0933   22.5663
Darfur   34.2000   9.0032   22.5048
Darfur   35.0000   8.9278   22.4247
Darfur   35.8000   8.8496   22.3536
Darfur   36.6000   8.7754   22.2834
Darfur   37.4000   8.6991   22.1824
Darfur   38.2000   8.6223   22.0860
Darfur   39.0000   8.5557   21.9837
Darfur   39.6000   8.4699   21.8858
Darfur   40.4000   8.4028   21.7670
Darfur   48.4000   8.2862   21.7252
Darfur   50.6000   8.3767   21.8067
Darfur   53.8000   8.4863   21.8555
Darfur   56.2000   8.6073   21.8636
Darfur   57.2000   8.7151   21.8770
Darfur   58.8000   8.8124   21.8466
Darfur   59.4000   8.9288   21.8497
Darfur   60.6000   9.0219   21.8109
Darfur   64.0000   9.1608   21.8072
